Run,Training_Time (s),RMSE_2020,MAE_2020,R²_2020,NMAE_2020,NRMSE_2020,RMSE_2021,MAE_2021,R²_2021,NMAE_2021,NRMSE_2021,RMSE_2022,MAE_2022,R²_2022,NMAE_2022,NRMSE_2022
1,0.21913981437683105,2670.843,2163.3206,0.9683919853442953,0.0600819,0.07417732,3128.9417,2631.5212,0.9594793383186553,0.071626596,0.08516574,3123.2458,2641.5251,0.9559484226655444,0.071824744,0.08492303
2,0.21970033645629883,2767.6313,2345.664,0.9660595937104146,0.065146126,0.07686542,3262.3987,2783.6306,0.9559490084204101,0.07576682,0.08879826,2786.8828,2159.6018,0.9649259002340779,0.05872094,0.075777106
3,0.212172269821167,2881.1753,2438.5386,0.9632176143048162,0.067725524,0.08001888,3188.2766,2738.1638,0.9579279549249374,0.074529275,0.08678076,2759.3784,2245.3315,0.9656147972267296,0.061051987,0.07502925
4,0.20818066596984863,2511.6995,2058.2493,0.9720465235507512,0.057163753,0.069757424,2984.254,2523.1416,0.9631401840161605,0.06867664,0.081227526,2965.1636,2699.511,0.9602948868727864,0.073401414,0.08062468
5,0.2141711711883545,2684.485,2173.8276,0.9680682609460332,0.060373712,0.0745562,3312.661,2608.0103,0.9545812109550835,0.07098666,0.09016634,3695.16,3117.8738,0.9383382911613772,0.08477696,0.10047374
6,0.21464896202087402,3574.9482,2873.8816,0.9433708500462825,0.07981631,0.09928703,4556.9473,3689.8604,0.9140532256373383,0.100433215,0.1240342,5405.313,4781.07,0.8680556436375632,0.13000031,0.14697388
7,0.2175748348236084,2748.557,2358.671,0.9665258193412859,0.06550736,0.07633567,3133.3867,2748.0386,0.9593641237529229,0.07479805,0.08528673,2575.6997,2207.7087,0.970040157046905,0.060028996,0.070034906
8,0.21030092239379883,2613.341,2166.4248,0.9697383388415708,0.060168114,0.072580315,3107.3892,2716.2036,0.9600356369858495,0.073931545,0.08457911,2740.14,2295.435,0.9660925985273751,0.062414333,0.07450614
9,0.20868778228759766,2357.0103,1851.4117,0.9753836604313838,0.051419254,0.06546124,3053.7417,2521.7666,0.9614036510668691,0.06863922,0.08311889,2902.6494,2515.0535,0.9619514437233146,0.0683859,0.07892487
10,0.20880961418151855,2851.591,2420.9565,0.9639691042497714,0.06723722,0.079197235,3426.3977,2987.452,0.9514088527947209,0.08131457,0.093262106,3052.0542,2459.701,0.9579337731966787,0.06688082,0.082987286
